name,type,value
`PRIMER_WT_SIZE_GT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_SIZE_GT>`_,<class 'float'>,1.0
`PRIMER_INTERNAL_WT_SIZE_GT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_SIZE_GT>`_,<class 'float'>,1.0
`PRIMER_MIN_GC <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MIN_GC>`_,<class 'float'>,20.0
`PRIMER_INTERNAL_MIN_GC <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MIN_GC>`_,<class 'float'>,20.0
`PRIMER_OPT_GC_PERCENT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_OPT_GC_PERCENT>`_,<class 'float'>,50.0
`PRIMER_INTERNAL_OPT_GC_PERCENT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_OPT_GC_PERCENT>`_,<class 'float'>,50.0
`PRIMER_MAX_GC <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_GC>`_,<class 'float'>,80.0
`PRIMER_INTERNAL_MAX_GC <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MAX_GC>`_,<class 'float'>,80.0
`PRIMER_WT_GC_PERCENT_LT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_GC_PERCENT_LT>`_,<class 'float'>,0.0
`PRIMER_INTERNAL_WT_GC_PERCENT_LT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_GC_PERCENT_LT>`_,<class 'float'>,0.0
`PRIMER_WT_GC_PERCENT_GT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_GC_PERCENT_GT>`_,<class 'float'>,0.0
`PRIMER_INTERNAL_WT_GC_PERCENT_GT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_GC_PERCENT_GT>`_,<class 'float'>,0.0
